Results11,Results12,Results13,Results14,Results15,Results16,Results17,Results18,Results19,Results110,Results111,Results112,Results113,Results114,Results115,Results116,Results117,Results118,Results119,Results120,Results121,Results122
File Name,Hz range,24h REM power,24h Wake power,24h NREM power,LP REM power,LP Wake power,LP NREM power,DP REM power,DP Wake power,DP NREM power,File Name,Hz range,24h REM power,24h Wake power,24h NREM power,LP REM power,LP Wake power,LP NREM power,DP REM power,DP Wake power,DP NREM power
 ,4.3945,1.2553,3.1851,5.6911,1.2503,3.1026,5.2219,1.2865,3.2226,6.4566, ,4.3945,1.0979,3.7966,5.9715,1.0341,3.994,5.4614,1.2636,3.688,6.7026
 ,4.8828,1.3916,2.7743,4.804,1.4382,2.8068,4.697,1.0981,2.7596,4.9784, ,4.8828,1.1754,3.2202,4.9601,1.1852,3.2759,4.7863,1.15,3.1895,5.2091
 ,5.3711,1.952,2.7126,4.6863,2.0527,2.8531,4.6851,1.3177,2.6487,4.6883, ,5.3711,1.5306,3.0824,4.6678,1.5917,3.2663,4.5931,1.3721,2.9812,4.7748
 ,5.8594,3.2674,2.8672,4.862,3.4663,3.1465,4.866,2.0147,2.7403,4.8554, ,5.8594,2.5228,3.2067,4.6307,2.7552,3.4886,4.6306,1.9194,3.0516,4.6308
 ,6.3477,5.5141,3.1346,5.1202,5.8337,3.404,5.1307,3.5023,3.0122,5.1031, ,6.3477,4.3606,3.3213,4.7052,4.8671,3.517,4.7943,3.0457,3.2136,4.5773
 ,6.8359,7.9039,3.283,5.0967,8.0531,3.4762,5.0749,6.9641,3.1952,5.1324, ,6.8359,6.6347,3.2479,4.8396,7.0634,3.4175,4.882,5.5218,3.1546,4.7789
 ,7.3242,10.5102,3.4464,4.8584,10.1425,3.4007,4.757,12.8247,3.4671,5.0239, ,7.3242,8.9505,3.168,4.6926,8.8948,3.2706,4.7394,9.095,3.1115,4.6256
 ,7.8125,11.248,3.5768,4.4897,10.6262,3.1166,4.4611,15.1624,3.7859,4.5363, ,7.8125,9.6769,3.0391,4.2989,9.2592,2.926,4.3363,10.7614,3.1013,4.2453
 ,8.3008,8.7943,3.5327,4.0043,8.3119,2.6928,4.0119,11.8319,3.9142,3.9918, ,8.3008,8.313,2.7769,3.8252,7.8855,2.4321,3.86,9.4231,2.9666,3.7754
 ,8.7891,5.7366,3.1794,3.5772,5.4737,2.1479,3.5962,7.3917,3.648,3.5462, ,8.7891,5.9744,2.4555,3.3725,5.7058,2.0225,3.388,6.6719,2.6938,3.3502
